"MIC"	"COUNTRY"	"ISO COUNTRY CODE (ISO 3166)"	"OPERATING MIC"	"O/S"	"NAME-INSTITUTION DESCRIPTION"	"ACRONYM"	"CITY"	"WEBSITE"	"STATUS DATE"	"STATUS"	"CREATION DATE"	"COMMENTS"
"ALXP"	"FRANCE"	"FR"	"XPAR"	"S"	"EURONEXT - ALTERNEXT PARIS"		"PARIS"	"WWW.EURONEXT.COM"	"APRIL 2015"	"ACTIVE"	"AUGUST 2007"	
"AMTS"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"MTS NETHERLANDS"		"LONDON"	"WWW.MTSMARKETS.COM"	"FEBRUARY 2011"	"ACTIVE"	"FEBRUARY 2011"	
"AMXO"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"NYSE AMEX OPTIONS"	"NYSE"	"NEW YORK"	"WWW.NYSE.COM"	"NOVEMBER 2008"	"ACTIVE"	"NOVEMBER 2008"	
"APXL"	"AUSTRALIA"	"AU"	"APXL"	"O"	"SYDNEY STOCK EXCHANGE LIMITED"	"SSX"	"SYDNEY"	"WWW.SSX.SYDNEY"	"FEBRUARY 2016"	"ACTIVE"	"AUGUST 2011"	"AS A SECURITIES EXCHANGE,SSX PROVIDES ‘LISTING’ FACILITIES TO COMPANIES AND SECURITIES ISSUERS AS WELL AS ‘TRADING’ FACILITIES FOR STOCK BROKERS, TRADERS AND INVESTORS TO BUY AND SELL SHARES/SECURITIES."
"AQUA"	"UNITED STATES OF AMERICA"	"US"	"AQUA"	"O"	"AQUA EQUITIES L.P."		"NEW YORK"	"WWW.AQUAEQUITIES.COM"	"SEPTEMBER 2008"	"ACTIVE"	"SEPTEMBER 2008"	"REGISTERED MARKET FOR BLOCK EQUITIES"
"AQXE"	"UNITED KINGDOM"	"GB"	"AQXE"	"O"	"AQUIS EXCHANGE"	"AQX"	"LONDON"	"WWW.AQUIS.EU"	"JULY 2013"	"ACTIVE"	"JULY 2013"	"PAN-EUROPEAN EQUITIES TRADING EXCHANGE (MTF)"
"ARAX"	"UNITED KINGDOM"	"GB"	"ARAX"	"O"	"ARAX COMMODITIES LTD"		"LONDON"	"WWW.ARAXCOMMODITIES.COM"	"MARCH 2016"	"ACTIVE"	"MARCH 2016"	"PLATFORM FOR OTC ENERGY DERIVATIVES, SPECIFICALLY EUROPEAN POWER"
"ARCD"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"ARCA DARK"	"ARCADARK"	"NEW YORK"	"WWW.NYSE.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"ARCO"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"NYSE ARCA OPTIONS"		"NEW YORK"	"WWW.NYSE.COM"	"OCTOBER 2009"	"ACTIVE"	"OCTOBER 2009"	"NYSE ARCA OPTIONS TRADING PLATFORM FROM NYSE EURONEXT."
"ARCX"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"NYSE ARCA"	"NYSE"	"NEW YORK"	"WWW.NYSE.COM"	"SEPTEMBER 2006"	"ACTIVE"	"SEPTEMBER 2006"	
"AREX"	"IRELAND"	"IE"	"AREX"	"O"	"AREX - AUTOMATED RECEIVABLES EXCHANGE"	"AREX"	"DUBLIN"	"HTTP://AREX.IO"	"MAY 2016"	"ACTIVE"	"MAY 2016"	"MARKET FOR ETR (EXCHANGE TRADED RECEIVABLES) ORDER EXECUTION."
"ASEX"	"GREECE"	"GR"	"ASEX"	"O"	"ATHENS STOCK EXCHANGE"	"ASE"	"ATHENS"	"WWW.ASE.GR"	"JULY 2012"	"ACTIVE"	"JULY 2012"	
"ASTR"	"INDIA"	"IN"	"CDSL"	"S"	"CLEARCORP DEALING SYSTEMS INDIA LIMITED – ASTROID"	"ASTROID"	"MUMBAI"	"WWW.CCILINDIA.COM"	"OCTOBER 2016"	"ACTIVE"	"OCTOBER 2016"	"ANONYMOUS SYSTEM FOR TRADING IN RUPEE OTC INTEREST RATE DERIVATIVES."
"ASXB"	"AUSTRALIA"	"AU"	"XASX"	"S"	"ASX BOOKBUILD"	"ASX"	"SYDNEY"	"WWW.ASX.COM.AU"	"OCTOBER 2012"	"ACTIVE"	"OCTOBER 2012"	"ON-MARKET AUTOMATED BOOKBUILD MECHANISM CALLED ASX BOOKBUILD TO ALLOW ASX LISTED COMPANIES TO PRICE AND ALLOCATE NEW SECURITIES."
"ASXC"	"AUSTRALIA"	"AU"	"XASX"	"S"	"ASX - CENTER POINT"	"ASX"	"SYDNEY"	"WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM"	"AUGUST 2011"	"ACTIVE"	"AUGUST 2011"	"CENTRE POINT ARE ORDER TYPES IN ASX TRADE ENABLING EXECUTION AT THE PREVAILING MIDPOINT OF THE BEST BID AND OFFER OF THE ASX CENTRAL LIMIT ORDER BOOK."
"ASXP"	"AUSTRALIA"	"AU"	"XASX"	"S"	"ASX - PUREMATCH"	"ASX"	"SYDNEY"	"WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM"	"AUGUST 2011"	"ACTIVE"	"AUGUST 2011"	"ASX PUREMATCH IS AN ADDITIONAL ORDER BOOK LAUNCHING IN MID 2011 AIMED AT MEETING THE NEEDS OF LATENCY SENSITIVE TRADERS, PROVIDING TRADING IN A SUBSET OF ASX LISTED SECURITIES."
"ASXT"	"AUSTRALIA"	"AU"	"XASX"	"S"	"ASX TRADEMATCH"	"ASX"	"SYDNEY"	"WWW.ASX.COM.AU"	"MAY 2012"	"ACTIVE"	"SEPTEMBER 2011"	"MERGER BETWEEN XASX AND XSFE."
"ASXV"	"AUSTRALIA"	"AU"	"XASX"	"S"	"ASX - VOLUMEMATCH"	"ASX"	"SYDNEY"	"WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM"	"AUGUST 2011"	"ACTIVE"	"AUGUST 2011"	"ASX LAUNCHED VOLUMEMATCH IN JUNE 2011, AN ASX TRADE EXECUTION FACILITY THAT ENABLES END USERS TO SEARCH FOR LIQUIDITY AND EXECUTE LARGE ORDERS ANONYMOUSLY."
"ATDF"	"UNITED STATES OF AMERICA"	"US"	"ATDF"	"O"	"AUTOMATED TRADING DESK FINANCIAL SERVICES, LLC"	"ATDF"	"MOUNT PLEASANT"	"WWW.ATDESK.COM"	"JANUARY 2015"	"ACTIVE"	"JANUARY 2015"	"US BROKER-DEALER EQUITY MARKET MAKER."
"ATLB"	"UNITED KINGDOM"	"GB"	"ATLB"	"O"	"ATLANTIC BROKERS LTD"		"LONDON"	"WWW.ATLANTICBROKERS.CO.UK"	"MAY 2016"	"ACTIVE"	"MAY 2016"	"INTRODUCING BROKER FOR FINANCIAL COAL FUTURES, OPTIONS AND PHYSICAL COAL."
"AUTB"	"UNITED KINGDOM"	"GB"	"AUTX"	"S"	"AUTILLA - BASE METALS"		"LONDON"	"WWW.AUTILLA.COM"	"MARCH 2017"	"ACTIVE"	"MARCH 2017"	
"AUTO"	"GERMANY"	"DE"	"DBOX"	"S"	"AUTOBAHN FX"		"FRANKFURT"	"WWW.AUTOBAHNFX.DB.COM"	"OCTOBER 2012"	"ACTIVE"	"OCTOBER 2012"	"DEUTSCHE BANK'S ELECTRONIC PLATFORM FOR TRADING FOREIGN EXCHANGE AND PRECIOUS METALS."
"AUTP"	"UNITED KINGDOM"	"GB"	"AUTX"	"S"	"AUTILLA - PRECIOUS METALS"		"LONDON"	"WWW.AUTILLA.COM"	"MARCH 2017"	"ACTIVE"	"MARCH 2017"	
"AUTX"	"UNITED KINGDOM"	"GB"	"AUTX"	"O"	"AUTILLA"		"LONDON"	"WWW.AUTILLA.COM"	"MARCH 2017"	"ACTIVE"	"FEBRUARY 2017"	"ELECTRONIC PLATFORM FOR COMMODITIES AND FX."
"AWBX"	"AUSTRALIA"	"AU"	"AWBX"	"O"	"AUSTRALIAN WHEAT BOARD"	"AWB"	"MELBOURNE"	"WWW.AWB.COM.AU"	"SEPTEMBER 2006"	"ACTIVE"	"SEPTEMBER 2006"	
"AWEX"	"AUSTRALIA"	"AU"	"AWEX"	"O"	"AUSTRALIAN WOOL EXCHANGE"	"AWEX"	"LANE COVE"	"WWW.AWEX.COM.AU"	"SEPTEMBER 2006"	"ACTIVE"	"SEPTEMBER 2006"	
"BACE"	"ARGENTINA"	"AR"	"BACE"	"O"	"BOLSA DE CEREALES DE BUENOS AIRES"		"BUENOS AIRES"	"WWW.BOLCEREALES.COM.AR"	"JANUARY 2011"	"ACTIVE"	"JANUARY 2011"	"COMMODITY EXCHANGE."
"BAJM"	"BARBADOS"	"BB"	"XBAB"	"S"	"BARBADOS STOCK EXCHANGE - JUNIOR MARKET"	"BSE"	"BRIDGETOWN"	"WWW.BSE.COM.BB"	"MARCH 2013"	"ACTIVE"	"MARCH 2013"	"MARKET FOR SMALL COMPANIES"
"BALT"	"UNITED KINGDOM"	"GB"	"BALT"	"O"	"THE BALTIC EXCHANGE"		"LONDON"	"WWW.BALTICEXCHANGE.COM"	"NOVEMBER 2008"	"ACTIVE"	"NOVEMBER 2008"	
"BAML"	"UNITED STATES OF AMERICA"	"US"	"BAML"	"O"	"BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS"	"MLIX"	"NEW YORK"	"HTTP://CORP.BANKOFAMERICA.COM/BUSINESS/CI/TRADER-INSTINCT"	"FEBRUARY 2015"	"ACTIVE"	"OCTOBER 2010"	"REGISTERED ATS (ATS 2)"
"BAPX"	"LITHUANIA"	"LT"	"BAPX"	"O"	"BALTPOOL"		"VILNIUS"	"WWW.BALTPOOL.LT"	"MARCH 2010"	"ACTIVE"	"MARCH 2010"	"BALTPOOL UAB IS THE ELECTRICITY MARKET OPERATOR OF LITHUANIA."
"BARD"	"UNITED STATES OF AMERICA"	"US"	"BARX"	"S"	"BARCLAYS FX – TRADING"	"BCAP LX"	"NEW YORK"	"WWW.BARX.COM/FX/INDEX.HTML"	"AUGUST 2012"	"ACTIVE"	"MAY 2011"	
"BARK"	"UNITED KINGDOM"	"GB"	"BCRM"	"S"	"BATS EUROPE - REGULATED MARKET DARK BOOK"	"BATS  REGM DARK"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"MAY 2017"	"MODIFIED"	"JUNE 2016"	"BATS EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR DARK ORDER BOOK TRADES"
"BARL"	"UNITED STATES OF AMERICA"	"US"	"BARX"	"S"	"BARCLAYS LIQUID MARKETS"		"NEW YORK"	"WWW.BARCAP.COM"	"MARCH 2013"	"ACTIVE"	"MARCH 2013"	
"BARO"	"UNITED KINGDOM"	"GB"	"BCRM"	"S"	"BATS EUROPE - REGULATED MARKET OFF BOOK"	"BATS  REGM OFF BOOK"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"MAY 2017"	"MODIFIED"	"JUNE 2016"	"BATS EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR OFF-BOOK TRADES"
"BART"	"UNITED KINGDOM"	"GB"	"BCRM"	"S"	"BATS EUROPE - REGULATED MARKET INTEGRATED BOOK"	"BATS  REGM LIT"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"MAY 2017"	"MODIFIED"	"JUNE 2016"	"BATS EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR INTEGRATED BOOK TRADES"
"BARX"	"UNITED STATES OF AMERICA"	"US"	"BARX"	"O"	"BARCLAYS ATS"		"NEW YORK"	"WWW.BARX.COM/EQUITIES/LIQUIDITYCROSSING.HTML"	"MARCH 2013"	"ACTIVE"	"JANUARY 2010"	"REGISTERED ATS."
"BATD"	"UNITED KINGDOM"	"GB"	"BCXE"	"S"	"BATS EUROPE -BXE DARK ORDER BOOK"	"BATS DARK"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"APRIL 2016"	"ACTIVE"	"JANUARY 2013"	"TO BE USED FOR REPORTING DARK BOOK EXECUTIONS."
"BATE"	"UNITED KINGDOM"	"GB"	"BCXE"	"S"	"BATS EUROPE -BXE ORDER BOOKS"	"BATS EUROPE"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"SEPTEMBER 2016"	"ACTIVE"	"NOVEMBER 2008"	"MULTILATERAL TRADING FACILITY FOR CASH EQUITIES"
"BATF"	"UNITED KINGDOM"	"GB"	"BCXE"	"S"	"BATS EUROPE – BATS OFF-BOOK"	"BATS OFF-BOOK"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"APRIL 2016"	"ACTIVE"	"APRIL 2013"	"BATS EUROPE (BXE) OFF-BOOK TRADE REPORTS."
"BATO"	"UNITED STATES OF AMERICA"	"US"	"BATS"	"S"	"BZX OPTIONS MARKET"	"BATO"	"LENEXA"	"WWW.BATS.COM"	"JUNE 2015"	"ACTIVE"	"NOVEMBER 2009"	"LISTED EQUITY OPTIONS EXTENSION OF BATS EXCHANGE PRIMARY MARKET."
"BATP"	"UNITED KINGDOM"	"GB"	"BCXE"	"S"	"BATS EUROPE - BXE PERIODIC"		"LONDON"	"WWW.BATSTRADING.CO.UK"	"APRIL 2016"	"ACTIVE"	"JULY 2015"	"TO BE USED FOR EXECUTIONS RESULTING FROM BATS BXE AUCTIONS BOOK."
"BATS"	"UNITED STATES OF AMERICA"	"US"	"BATS"	"O"	"BATS Z-EXCHANGE"	"BATS"	"LENEXA"	"WWW.BATS.COM"	"JUNE 2015"	"ACTIVE"	"NOVEMBER 2008"	"THE BATS TRADING SYSTEM BECAME AN EXCHANGE EFFECTIVE 24 OCT 2008"
"BATY"	"UNITED STATES OF AMERICA"	"US"	"BATS"	"S"	"BATS Y-EXCHANGE, INC."	"BYXX"	"LENEXA"	"WWW.BATS.COM"	"JUNE 2015"	"ACTIVE"	"NOVEMBER 2009"	"SECOND U.S. EQUITIES EXCHANGE (BYX)."
"BBSF"	"UNITED STATES OF AMERICA"	"US"	"BBSF"	"O"	"BLOOMBERG SEF LLC"		"NEW YORK"	"WWW.BLOOMBERGSEF.COM"	"JULY 2014"	"ACTIVE"	"JULY 2014"	"ELECTRONIC TRADING PLATFORM FOR REGULATED OTC DERIVATIVES TRANSACTIONS"
"BCDX"	"UNITED STATES OF AMERICA"	"US"	"BARX"	"S"	"BARCLAYS DIRECT EX ATS"	"BCDX"	"NEW YORK"	"HTTP://REALIZATIONS.BARCLAYS.COM/GLOBAL-MARKETS/EQUITIES"	"AUGUST 2014"	"ACTIVE"	"AUGUST 2014"	"REGISTERED ATS."
"BCFS"	"ARGENTINA"	"AR"	"BCFS"	"O"	"BOLSA DE COMERCIO DE SANTA FE"		"SANTA FE"	"WWW.BCSF.COM.AR"	"NOVEMBER 2007"	"ACTIVE"	"NOVEMBER 2007"	
"BCMM"	"BRAZIL"	"BR"	"BCMM"	"O"	"BOLSA DE CEREAIS E MERCADORIAS DE MARINGÁ"		"MARINGA"	"WWW.BCMM.COM.BR"	"MARCH 2013"	"ACTIVE"	"DECEMBER 2010"	"COMMODITIES MARKET."
"BCRM"	"UNITED KINGDOM"	"GB"	"BCRM"	"O"	"BATS EUROPE REGULATED MARKETS"	"BATS  EUROPE"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"MAY 2017"	"ACTIVE"	"MAY 2017"	"BATS REGULATED MARKETS."
"BCSE"	"BELARUS"	"BY"	"BCSE"	"O"	"BELARUS CURRENCY AND STOCK EXCHANGE"	"BCSE"	"MINSK"	"WWW.BCSE.BY"	"AUGUST 2006"	"ACTIVE"	"AUGUST 2006"	
"BCXE"	"UNITED KINGDOM"	"GB"	"BCXE"	"O"	"BATS  EUROPE"	"BATS  EUROPE"	"LONDON"	"WWW.BATSTRADING.CO.UK"	"APRIL 2016"	"ACTIVE"	"APRIL 2013"	
"BEAM"	"BELGIUM"	"BE"	"BEAM"	"O"	"MTS ASSOCIATED MARKETS"		"BRUSSELS"	"WWW.MTSBELGIUM.COM"	"MAY 2017"	"ACTIVE"	"MAY 2017"	
"BEEX"	"THAILAND"	"TH"	"BEEX"	"O"	"BOND ELECTRONIC EXCHANGE"		"BANGKOK"	"WWW.BEX.OR.TH"	"NOVEMBER 2007"	"ACTIVE"	"NOVEMBER 2007"	
"BERA"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN - REGULIERTER MARKT"		"BERLIN"	"WWW.BERLIN-BOERSE.DE"	"FEBRUARY 2008"	"ACTIVE"	"FEBRUARY 2008"	
"BERB"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN - FREIVERKEHR"		"BERLIN"	"WWW.BERLIN-BOERSE.DE"	"FEBRUARY 2008"	"ACTIVE"	"FEBRUARY 2008"	
"BERC"	"GERMANY"	"DE"	"XBER"	"S"	"BOERSE BERLIN - BERLIN SECOND REGULATED MARKET"		"BERLIN"	"WWW.BERLIN-BOERSE.DE"	"AUGUST 2010"	"ACTIVE"	"AUGUST 2010"	
"BETA"	"HUNGARY"	"HU"	"BETA"	"O"	"BETA MARKET"		"BUDAPEST"	"WWW.BSE.HU"	"DECEMBER 2011"	"ACTIVE"	"DECEMBER 2011"	"LAUNCHED IN NOVEMBER 2011,  MULTILATERAL TRADING FACILITY."
"BETP"	"JAPAN"	"JP"	"BETP"	"O"	"BLOOMBERG TRADEBOOK JAPAN LIMITED"		"CHIYODA-KU"	"WWW.BLOOMBERGTRADEBOOK.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"BLOOMBERG'S ETP"
"BFEX"	"BAHRAIN"	"BH"	"BFEX"	"O"	"BAHRAIN FINANCIAL EXCHANGE"		"MANAMA"	"WWW.BFX.BH"	"OCTOBER 2010"	"ACTIVE"	"OCTOBER 2010"	"THE BFX IS THE FIRST MULTI-ASSET CLASS EXCHANGE IN THE MIDDLE EAST REGION AND WILL BE INTERNATIONALLY ACCESSIBLE TO TRADE CASH INSTRUMENTS, STRUCTURED PRODUCTS AND SHARIA-COMPLIANT FINANCIAL INSTRUMENTS AS WELL AS DERIVATIVES."
"BGCB"	"UNITED KINGDOM"	"GB"	"BGCI"	"S"	"BGC BROKERS LP - TRAYPORT"		"LONDON"	"WWW.BGCPARTNERS.COM"	"FEBRUARY 2014"	"ACTIVE"	"FEBRUARY 2014"	
"BGCD"	"UNITED STATES OF AMERICA"	"US"	"BGCF"	"S"	"BGC DERIVATIVE MARKETS L.P."	"BGCDML"	"NEW YORK"	"WWW.BGCSEF.COM"	"MARCH 2015"	"ACTIVE"	"MARCH 2015"	"BGC SWAP EXECUTION FACILITY."
"BGCF"	"UNITED STATES OF AMERICA"	"US"	"BGCF"	"O"	"BGC FINANCIAL INC"		"NEW YORK"	"WWW.BGCPARTNERS.COM"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"BGCI"	"UNITED KINGDOM"	"GB"	"BGCI"	"O"	"BGC BROKERS LP"		"LONDON"	"WWW.BGCPARTNERS.COM"	"OCTOBER 2007"	"ACTIVE"	"OCTOBER 2007"	
"BHSF"	"UNITED STATES OF AMERICA"	"US"	"BHSF"	"O"	"BATS HOTSPOT SEF LLC"		"NEW YORK"	"WWW.HOTSPOTFX.COM"	"DECEMBER 2016"	"ACTIVE"	"DECEMBER 2016"	"REGISTERED SWAP EXECUTION FACILITY (SEF). PREVIOUSLY JAVELIN SEF (MIC:JSEF)"
"BIDS"	"UNITED STATES OF AMERICA"	"US"	"BIDS"	"O"	"BIDS TRADING L.P."	"BIDS"	"NEW YORK"	"WWW.BIDSTRADING.COM"	"FEBRUARY 2007"	"ACTIVE"	"FEBRUARY 2007"	
"BLBF"	"BOSNIA AND HERZEGOVINA"	"BA"	"XBLB"	"S"	"BANJA LUKA STOCK EXCHANGE - FREE MARKET"	"BLSE"	"BANJA LUKA"	"WWW.BLBERZA.COM"	"MARCH 2013"	"ACTIVE"	"MARCH 2013"	
"BLEV"	"AUSTRALIA"	"AU"	"BLEV"	"O"	"BLOCK EVENT"		"MELBOURNE"	"WWW.BLOCKEVENT.COM"	"APRIL 2015"	"ACTIVE"	"APRIL 2015"	"ELECTRONIC BLOCK TRADING PLATFORM FOR EQUITIES."
"BLNK"	"UNITED KINGDOM"	"GB"	"CHEV"	"S"	"BLINK MTF"		"LONDON"	"WWW.CHEUVREUX.COM"	"SEPTEMBER 2009"	"ACTIVE"	"SEPTEMBER 2009"	"EQUITIES CROSSING, EQUITIES DARK POOL, PAN-EUROPEAN EQUITIES."
"BLOX"	"UNITED KINGDOM"	"GB"	"BLOX"	"O"	"BLOCKMATCH"		"LONDON"	"WWW.INSTINET.COM"	"NOVEMBER 2007"	"ACTIVE"	"NOVEMBER 2007"	
"BLPX"	"BELGIUM"	"BE"	"BLPX"	"O"	"BELGIAN POWER EXCHANGE"	"BLPX"	"BRUSSELS"	"WWW.BELPEX.BE"	"NOVEMBER 2007"	"ACTIVE"	"NOVEMBER 2007"	
"BLTD"	"UNITED STATES OF AMERICA"	"US"	"BLTD"	"O"	"BLOOMBERG TRADEBOOK LLC"		"NEW YORK"	"WWW.BLOOMBERGTRADEBOOK.COM"	"NOVEMBER 2007"	"ACTIVE"	"NOVEMBER 2007"	
"BLTX"	"UNITED KINGDOM"	"GB"	"BALT"	"S"	"BALTEX - FREIGHT DERIVATIVES MARKET"		"LONDON"	"WWW.BALTICEXCHANGE.COM"	"JULY 2013"	"ACTIVE"	"JULY 2013"	"MTF FOR ELECTRONIC TRADING OF FREIGHT DERIVATIVES"
"BMCL"	"SPAIN"	"ES"	"BMEX"	"S"	"BME CLEARING S.A."		"MADRID"	"WWW.AIAF.ES"	"OCTOBER 2013"	"ACTIVE"	"OCTOBER 2013"	
"BMEX"	"SPAIN"	"ES"	"BMEX"	"O"	"BME - BOLSAS Y MERCADOS ESPANOLES"	"BME"	"MADRID"	"WWW.BOLSASYMERCADOS.ES"	"AUGUST 2012"	"ACTIVE"	"AUGUST 2012"	
"BMFA"	"ROMANIA"	"RO"	"BMFX"	"S"	"BMFMS-ATS"		"SIBIU"	"WWW.SIBEX.RO"	"OCTOBER 2010"	"ACTIVE"	"OCTOBER 2010"	"ALTERNATIVE TRADING SYSTEM FOR EQUITIES."
"BMFM"	"ROMANIA"	"RO"	"BMFX"	"S"	"DERIVATIVES REGULATED MARKET - BMFMS"	"BMFMS"	"SIBIU"	"WWW.SIBEX.RO"	"MAY 2010"	"ACTIVE"	"MAY 2010"	
"BMFX"	"ROMANIA"	"RO"	"BMFX"	"O"	"SIBIU MONETARY- FINANCIAL AND COMMODITIES EXCHANGE"		"SIBIU"	"WWW.SIBEX.RO"	"JULY 2010"	"ACTIVE"	"JULY 2010"	"THE SIBIU MONETARY FINANCIAL AND COMMODITIES EXCHANGE (BURSA MONETAR FINANCIARÃ ŞI DE MÃRFURI SIBIU OR BMFMS IN ROMANIAN) IS ROMANIA'S SECOND LARGEST FINANCIAL MARKET."
"BMTF"	"UNITED KINGDOM"	"GB"	"BMTF"	"O"	"BLOOMBERG TRADING FACILITY LIMITED"		"LONDON"	"WWW.BLOOMBERG.COM"	"JUNE 2015"	"ACTIVE"	"JUNE 2015"	"BLOOMBERG'S MULTI-LATERAL TRADING FACILITY"
"BMTS"	"BELGIUM"	"BE"	"BEAM"	"S"	"MTS BELGIUM"		"BRUSSELS"	"WWW.MTSBELGIUM.COM"	"MAY 2017"	"MODIFIED"	"NOVEMBER 2005"	
"BNDD"	"UNITED STATES OF AMERICA"	"US"	"TRWB"	"S"	"TRADEWEB DIRECT LLC"		"NEW YORK"	"WWW.TRADEWEB.COM"	"FEBRUARY 2017"	"ACTIVE"	"AUGUST 2007"	
"BNYC"	"UNITED STATES OF AMERICA"	"US"	"BNYC"	"O"	"CONVERGEX"		"NEW YORK"	"WWW.CONVERGEX.COM"	"DECEMBER 2012"	"ACTIVE"	"DECEMBER 2012"	
"BOAT"	"UNITED KINGDOM"	"GB"	"BOAT"	"O"	"CINNOBER BOAT"		"LONDON"	"WWW.CINNOBER.COM/BOAT-TRADE-REPORTING"	"SEPTEMBER 2014"	"ACTIVE"	"JUNE 2008"	"OTC EQUITIES TRADE REPORTING PLATFORM"
